Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
22ago,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
22ago,Beach House,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $127,00",4140 Broadway,New York,NY
23ago,New York Mets vs. San Francisco Giants,JU - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
23ago,Billy Joel,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $107,00",4 Pennsylvania Plaza,New York,NY
23ago,Beach House,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $78,00",Flatbush Avenue,Brooklyn,New York
24ago,New York Mets vs. Washington Nationals,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $28,00",126th St. and Roosevelt Ave.,Queens,NY
25 ago,Vida nocturna,SA,,,126th St. and Roosevelt Ave.,Queens,NY
25ago,New York Mets vs. Washington Nationals,SA - Hora de inicio: 4:05 pm ," Béisbol, Deportes                                                            "," Desde $33,00",126th St. and Roosevelt Ave.,Queens,NY
26 ago,Un domingo de góspel,DO,,,126th St. and Roosevelt Ave.,Queens,NY
26ago,NFL Preseason: New York Jets vs. New York Giants (Date: TBD),DO - Hora de inicio: ," Fútbol americano, Deportes                                                            "," Desde $60,00",102 Route 120,East Rutherford,NJ
26ago,New York Mets vs. Washington Nationals,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $30,00",126th St. and Roosevelt Ave.,Queens,NY
26ago,New York Red Bulls vs. D.C. United,DO - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $34,00",6th Street and Cape May Street,Harrison,NJ
27 ago,Woodbury Common Premium Outlets Shopping Tour,LU,,,6th Street and Cape May Street,Harrison,NJ
27 ago-9sep,US Open Tennis,27 ago - 9 sep,,,6th Street and Cape May Street,Harrison,NJ
27ago,US Open Tennis Championship: Session 1 - Men's/Women's 1st Round,LU - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $123,00",Flushing Meadows Corona Park,Flushing,NY
27ago,US Open Tennis Championship: Grounds Pass - Monday Admission,LU - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $125,00",Flushing Meadows Corona Park,Flushing,NY
27ago,US Open Tennis Championship: Session 2 - Men's/Women's 1st Round,LU - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $93,00",Flushing Meadows Corona Park,Flushing,NY
27ago,New York Yankees vs. Chicago White Sox,LU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $13,00",161st Street and River Avenue,Bronx,NY
28ago,US Open Tennis Championship: Session 3 - Men's/Women's 1st Round,MA - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $112,00",Flushing Meadows Corona Park,Flushing,NY
28ago,US Open Tennis Championship: Grounds Pass - Tuesday Admission,MA - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $127,00",Flushing Meadows Corona Park,Flushing,NY
28ago,US Open Tennis Championship: Session 4 - Men's/Women's 1st Round,MA - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $76,00",Flushing Meadows Corona Park,Flushing,NY
28ago,New York Yankees vs. Chicago White Sox,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $21,00",161st Street and River Avenue,Bronx,NY
29ago,US Open Tennis Championship: Session 5 - Men's/Women's 2nd Round,MI - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $112,00",Flushing Meadows Corona Park,Flushing,NY
29ago,US Open Tennis Championship: Grounds Pass - Wednesday Admission,MI - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $130,00",Flushing Meadows Corona Park,Flushing,NY
29ago,US Open Tennis Championship: Session 6 - Men's/Women's 2nd Round,MI - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $54,00",Flushing Meadows Corona Park,Flushing,NY
29ago,Fall Out Boy & Machine Gun Kelly,MI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $51,00",1255 Hempstead Turnpike,Uniondale,NY
29ago,New York Yankees vs. Chicago White Sox,MI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $22,00",161st Street and River Avenue,Bronx,NY
29ago,Amateur Night At The Apollo: Special Edition - Harlem Week,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
29ago,New York Red Bulls vs. Houston Dynamo,MI - Hora de inicio: 8:00 pm ," Fútbol, Deportes                                                            "," Desde $20,00",6th Street and Cape May Street,Harrison,NJ
30ago,US Open Tennis Championship: Session 7 - Men's/Women's 2nd Round,JU - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $116,00",Flushing Meadows Corona Park,Flushing,NY
30ago,US Open Tennis Championship: Grounds Pass - Thursday Admission,JU - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $131,00",Flushing Meadows Corona Park,Flushing,NY
30ago,US Open Tennis Championship: Session 8 - Men's/Women's 2nd Round,JU - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $81,00",Flushing Meadows Corona Park,Flushing,NY
30ago,New York Yankees vs. Detroit Tigers,JU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $22,00",161st Street and River Avenue,Bronx,NY
31ago,NFL Preseason: Philadelphia Eagles vs. New York Jets (Date: TBD),VI - Hora de inicio: ," Fútbol americano, Deportes                                                            "," Desde $73,00",1020 Pattison Avenue,Philadelphia,Pennsylvania
31ago,NFL Preseason: New York Giants vs. New England Patriots (Date: TBD),VI - Hora de inicio: ," Fútbol americano, Deportes                                                            "," Desde $71,00",102 Route 120,East Rutherford,NJ
31ago,Laura Pausini,VI - Hora de inicio: , Conciertos                                                            ," Desde $119,00",1260 Avenue of the Americas,New York,NY
31ago,US Open Tennis Championship: Session 9 - Men's/Women's 3rd Round,VI - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $164,00",Flushing Meadows Corona Park,Flushing,NY
31ago,US Open Tennis Championship: Grounds Pass - Friday Admission,VI - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $164,00",Flushing Meadows Corona Park,Flushing,NY
31ago,US Open Tennis Championship: Session 10 - Men's/Women's 3rd Round,VI - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $129,00",Flushing Meadows Corona Park,Flushing,NY
31ago,New York Yankees vs. Detroit Tigers,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
27 ago-9sep,US Open Tennis,27 ago - 9 sep,,,161st Street and River Avenue,Bronx,NY
1 sep,Vida nocturna,SA,,,161st Street and River Avenue,Bronx,NY
1sep,US Open Tennis Championship: Grounds Pass - Saturday Admission,SA - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $208,00",Flushing Meadows Corona Park,Flushing,NY
1sep,US Open Tennis Championship: Session 11 - Men's/Women's 3rd Round,SA - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $230,00",Flushing Meadows Corona Park,Flushing,NY
1sep,New York Yankees vs. Detroit Tigers,SA - Hora de inicio: 4:05 pm ," Béisbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
1sep,US Open Tennis Championship: Session 12 - Men's/Women's 3rd Round,SA - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $130,00",Flushing Meadows Corona Park,Flushing,NY
2 sep,Un domingo de góspel,DO,,,Flushing Meadows Corona Park,Flushing,NY
2sep,US Open Tennis Championship: Grounds Pass - Sunday Admission,DO - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $196,00",Flushing Meadows Corona Park,Flushing,NY
2sep,US Open Tennis Championship: Session 13 - Men's/Women's Round of 16,DO - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $192,00",Flushing Meadows Corona Park,Flushing,NY
2sep,New York Yankees vs. Detroit Tigers,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $27,00",161st Street and River Avenue,Bronx,NY
2sep,US Open Tennis Championship: Session 14 - Men's/Women's Round of 16,DO - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $125,00",Flushing Meadows Corona Park,Flushing,NY
3 sep,Labor Day,LU,,,Flushing Meadows Corona Park,Flushing,NY
3 sep,Woodbury Common Premium Outlets Shopping Tour,LU,,,Flushing Meadows Corona Park,Flushing,NY
3sep,US Open Tennis Championship: Grounds Pass - Monday Admission,LU - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $176,00",Flushing Meadows Corona Park,Flushing,NY
3sep,US Open Tennis Championship: Session 15 - Men's/Women's Round of 16,LU - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $163,00",Flushing Meadows Corona Park,Flushing,NY
3sep,US Open Tennis Championship: Session 16 - Men's/Women's Round of 16,LU - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $106,00",Flushing Meadows Corona Park,Flushing,NY
4sep,US Open Tennis Championship: Session 17 - Men's/Women's Quarterfinals,MA - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $92,00",Flushing Meadows Corona Park,Flushing,NY
4sep,Fall Out Boy & Machine Gun Kelly,MA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $46,00",Lafayette St At Mulberry St,Newark,NJ
4sep,US Open Tennis Championship: Session 18 - Men's/Women's Quarterfinals,MA - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $134,00",Flushing Meadows Corona Park,Flushing,NY
5sep,US Open Tennis Championship: Session 19 - Men's/Women's Quarterfinals,MI - Hora de inicio: 11:00 am ," Deportes, Tenis                                                            "," Desde $84,00",Flushing Meadows Corona Park,Flushing,NY
5sep,New York City FC vs. New England Revolution,MI - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $25,00",161st Street and River Avenue,Bronx,NY
5sep,US Open Tennis Championship Session 20 - Men's/Women's Quarterfinals,MI - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $197,00",Flushing Meadows Corona Park,Flushing,NY
5sep,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
6sep,US Open Tennis Championship: Session 21 - Women's Semifinals,JU - Hora de inicio: 7:00 pm ," Deportes, Tenis                                                            "," Desde $117,00",Flushing Meadows Corona Park,Flushing,NY
7 sep,National Beer Lover's Day,VI,,,Flushing Meadows Corona Park,Flushing,NY
7sep,US Open Tennis Championship: Session 22 - Men's Semifinals/Men's Doubles Finals,VI - Hora de inicio: 12:00 pm ," Deportes, Tenis                                                            "," Desde $262,00",Flushing Meadows Corona Park,Flushing,NY
7sep,New York Mets vs. Philadelphia Phillies,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $21,00",126th St. and Roosevelt Ave.,Queens,NY
8 sep,Vida nocturna,SA,,,126th St. and Roosevelt Ave.,Queens,NY
8sep,US Open Tennis Championship: Session 23 - Women's Finals/Mixed Doubles Finals,SA - Hora de inicio: 12:00 pm ," Deportes, Tenis                                                            "," Desde $193,00",Flushing Meadows Corona Park,Flushing,NY
8sep,New York City FC vs. D.C. United,SA - Hora de inicio: 3:30 pm ," Fútbol, Deportes                                                            "," Desde $39,00",161st Street and River Avenue,Bronx,NY
8sep,"Sugarland, Frankie Ballard & Lindsay Ell",SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $29,00",Lafayette St At Mulberry St,Newark,NJ
8sep,New York Mets vs. Philadelphia Phillies,SA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $29,00",126th St. and Roosevelt Ave.,Queens,NY
9 sep,Un domingo de góspel,DO,,,126th St. and Roosevelt Ave.,Queens,NY
9sep,US Open Tennis Championship: Session 24 - Men's Finals/Women's Doubles Final,DO - Hora de inicio: 12:00 pm ," Deportes, Tenis                                                            "," Desde $335,00",Flushing Meadows Corona Park,Flushing,NY
9sep,New York Mets vs. Philadelphia Phillies,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $22,00",126th St. and Roosevelt Ave.,Queens,NY
10 sep,Woodbury Common Premium Outlets Shopping Tour,LU,,,126th St. and Roosevelt Ave.,Queens,NY
10sep,New York Mets vs. Miami Marlins,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $9,00",126th St. and Roosevelt Ave.,Queens,NY
11 sep,9/11 en Nueva York,MA,,,126th St. and Roosevelt Ave.,Queens,NY
11 sep,Tribute in Light,MA,,,126th St. and Roosevelt Ave.,Queens,NY
11sep,New York Mets vs. Miami Marlins,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
11sep,Jethro Tull,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $139,00",2124 Broadway,New York,NY
12sep,New York Mets vs. Miami Marlins,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
12sep,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
13sep,New York Mets vs. Miami Marlins,JU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
14sep,New York Yankees vs. Toronto Blue Jays,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $24,00",161st Street and River Avenue,Bronx,NY
14sep,Childish Gambino & Rae Sremmurd,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $148,00",4 Pennsylvania Plaza,New York,NY
15 sep,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
15sep,New York Yankees vs. Toronto Blue Jays,SA - Hora de inicio: 4:05 pm ," Béisbol, Deportes                                                            "," Desde $21,00",161st Street and River Avenue,Bronx,NY
15sep,Paul Simon,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $117,00",Lafayette St At Mulberry St,Newark,NJ
16 sep,Un domingo de góspel,DO,,,Lafayette St At Mulberry St,Newark,NJ
16sep,New York Yankees vs. Toronto Blue Jays,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $23,00",161st Street and River Avenue,Bronx,NY
17 sep,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
17sep,The The Band Band,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $83,00",2124 Broadway,New York,NY
17sep,David Byrne,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $159,00",Flatbush Avenue,Brooklyn,New York
18 sep,National Cheeseburger Day,MA,,,Flatbush Avenue,Brooklyn,New York
18sep,New York Yankees vs. Boston Red Sox,MA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $37,00",161st Street and River Avenue,Bronx,NY
18sep,James Bay,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $76,00",2124 Broadway,New York,NY
19sep,New York Yankees vs. Boston Red Sox,MI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $42,00",161st Street and River Avenue,Bronx,NY
19sep,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
19sep,James Bay,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $55,00",2124 Broadway,New York,NY
20 sep,National Pepperoni Pizza Day,JU,,,2124 Broadway,New York,NY
20sep,New York Yankees vs. Boston Red Sox,JU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $31,00",161st Street and River Avenue,Bronx,NY
20sep,Paul Simon,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $119,00",4 Pennsylvania Plaza,New York,NY
21sep,Ed Sheeran,VI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $87,00",102 Route 120,East Rutherford,NJ
21sep,New York Yankees vs. Baltimore Orioles,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $26,00",161st Street and River Avenue,Bronx,NY
21sep,Paul Simon,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $144,00",4 Pennsylvania Plaza,New York,NY
22 sep,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
22sep,New York Yankees vs. Baltimore Orioles,SA - Hora de inicio: 4:05 pm ," Béisbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
22sep,New York Red Bulls vs. Toronto FC,SA - Hora de inicio: 5:00 pm ," Fútbol, Deportes                                                            "," Desde $33,00",6th Street and Cape May Street,Harrison,NJ
22sep,Ed Sheeran,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $154,00",102 Route 120,East Rutherford,NJ
22sep,Andre Rieu,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $107,00",1255 Hempstead Turnpike,Uniondale,NY
23 sep,Un domingo de góspel,DO,,,1255 Hempstead Turnpike,Uniondale,NY
23sep,New York Yankees vs. Baltimore Orioles,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $22,00",161st Street and River Avenue,Bronx,NY
24 sep,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
25sep,New York Mets vs. Atlanta Braves,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
26sep,New York City FC vs. Chicago Fire,MI - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $34,00",161st Street and River Avenue,Bronx,NY
26sep,New York Mets vs. Atlanta Braves,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
26sep,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
27sep,Kevin Hart,JU - Hora de inicio: 7:00 pm ," Comedy, Conciertos                                                            "," Desde $82,00",4 Pennsylvania Plaza,New York,NY
27sep,New York Mets vs. Atlanta Braves,JU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
28sep,New York Mets vs. Miami Marlins,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $18,00",126th St. and Roosevelt Ave.,Queens,NY
29 sep,Vida nocturna,SA,,,126th St. and Roosevelt Ave.,Queens,NY
29sep,New York Mets vs. Miami Marlins,SA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $28,00",126th St. and Roosevelt Ave.,Queens,NY
29sep,Celtic Thunder,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $94,00",2124 Broadway,New York,NY
30 sep,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
30sep,New York Red Bulls vs. Atlanta United FC,DO - Hora de inicio: 1:00 pm ," Fútbol, Deportes                                                            "," Desde $36,00",6th Street and Cape May Street,Harrison,NJ
30sep,New York Mets vs. Miami Marlins,DO - Hora de inicio: 3:10 pm ," Béisbol, Deportes                                                            "," Desde $24,00",126th St. and Roosevelt Ave.,Queens,NY
30sep,Billy Joel,DO - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $106,00",4 Pennsylvania Plaza,New York,NY
1 oct,Woodbury Common Premium Outlets Shopping Tour,LU,,,4 Pennsylvania Plaza,New York,NY
1oct,Bruno Mars & Cardi B,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $128,00",Lafayette St At Mulberry St,Newark,NJ
2oct,Bruno Mars & Cardi B,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $128,00",Lafayette St At Mulberry St,Newark,NJ
3oct,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
3oct,Game of Thrones Live Concert Experience,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $62,00",4 Pennsylvania Plaza,New York,NY
4oct,Bruno Mars & Cardi B,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $137,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
5oct,Bruno Mars & Cardi B,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $159,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
5oct,Leon Bridges,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $120,00",1260 Avenue of the Americas,New York,NY
6 oct,Vida nocturna,SA,,,1260 Avenue of the Americas,New York,NY
6oct,Maroon 5 & Julia Michaels,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $111,00",Lafayette St At Mulberry St,Newark,NJ
6oct,Paul Reiser,SA - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $101,00",,Staten Island,NY
6oct,Leon Bridges,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $114,00",1260 Avenue of the Americas,New York,NY
7 oct,Un domingo de góspel,DO,,,1260 Avenue of the Americas,New York,NY
7oct,Eric Clapton,DO - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $178,00",4 Pennsylvania Plaza,New York,NY
8 oct,Woodbury Common Premium Outlets Shopping Tour,LU,,,4 Pennsylvania Plaza,New York,NY
8 oct,Columbus Day,LU,,,4 Pennsylvania Plaza,New York,NY
9oct,The Eagles,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $165,00",4 Pennsylvania Plaza,New York,NY
9oct,Elton John,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $141,00",1255 Hempstead Turnpike,Uniondale,NY
10oct,Amateur Night At The Apollo: Show Off,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $67,00",253 West 125th Street,New York,NY
10oct,The Eagles,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $181,00",4 Pennsylvania Plaza,New York,NY
12oct,The Eagles,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $146,00",Lafayette St At Mulberry St,Newark,NJ
13 oct,Vida nocturna,SA,,,Lafayette St At Mulberry St,Newark,NJ
13oct,The Midtown Men,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $88,00",,Staten Island,NY
14 oct,Un domingo de góspel,DO,,,,Staten Island,NY
14oct,Maroon 5 & Julia Michaels,DO - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $130,00",4 Pennsylvania Plaza,New York,NY
15 oct,Woodbury Common Premium Outlets Shopping Tour,LU,,,4 Pennsylvania Plaza,New York,NY
15oct,Maroon 5 & Julia Michaels,LU - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $104,00",4 Pennsylvania Plaza,New York,NY
15oct,Goo Goo Dolls,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $98,00",2124 Broadway,New York,NY
17oct,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
17oct,Steely Dan,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $112,00",2124 Broadway,New York,NY
18oct,Steely Dan,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $111,00",2124 Broadway,New York,NY
18oct,Elton John,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $287,00",4 Pennsylvania Plaza,New York,NY
19oct,Elton John,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $273,00",4 Pennsylvania Plaza,New York,NY
19oct,Don Felder,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $62,00",,Staten Island,NY
20 oct,Vida nocturna,SA,,,,Staten Island,NY
21 oct,Un domingo de góspel,DO,,,,Staten Island,NY
21oct,Steely Dan,DO - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $92,00",2124 Broadway,New York,NY
22 oct,Woodbury Common Premium Outlets Shopping Tour,LU,,,2124 Broadway,New York,NY
22oct,Justin Timberlake,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $107,00",4 Pennsylvania Plaza,New York,NY
24oct,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
24oct,Justin Timberlake,MI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $117,00",4 Pennsylvania Plaza,New York,NY
26oct,Nick Cave And The Bad Seeds,VI - Hora de inicio: 7:15 pm , Conciertos                                                            ," Desde $165,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
27 oct,Vida nocturna,SA,,,Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
27oct,Keith Urban & Kelsea Ballerini,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $45,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
27oct,Billy Joel,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $133,00",4 Pennsylvania Plaza,New York,NY
28 oct,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
28 oct,¡Feliz cumpleaños Estatua de la Libertad!,DO,,,4 Pennsylvania Plaza,New York,NY
28oct,New York Red Bulls vs. Orlando City SC,DO - Hora de inicio: 4:30 pm ," Fútbol, Deportes                                                            "," Desde $28,00",6th Street and Cape May Street,Harrison,NJ
28oct,New York City FC vs. Philadelphia Union,DO - Hora de inicio: 4:30 pm ," Fútbol, Deportes                                                            "," Desde $28,00",161st Street and River Avenue,Bronx,NY
29 oct,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
31 oct,Halloween,MI,,,161st Street and River Avenue,Bronx,NY
31oct,Amateur Night At The Apollo: Show Off,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $55,00",253 West 125th Street,New York,NY
2nov,"Chris Stapleton, Marty Stuart & Brent Cobb",VI - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $80,00",4 Pennsylvania Plaza,New York,NY
3 nov,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
4 nov,Un domingo de góspel,DO,,,4 Pennsylvania Plaza,New York,NY
4 nov,New York Marathon,DO,,,4 Pennsylvania Plaza,New York,NY
5 nov,Woodbury Common Premium Outlets Shopping Tour,LU,,,4 Pennsylvania Plaza,New York,NY
5nov,Lake Street Dive,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $80,00",2124 Broadway,New York,NY
6nov,Lake Street Dive,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $80,00",2124 Broadway,New York,NY
7nov,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
8nov,Elton John,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $191,00",4 Pennsylvania Plaza,New York,NY
9nov,Elton John,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $262,00",4 Pennsylvania Plaza,New York,NY
10 nov,Vida nocturna,SA,,,4 Pennsylvania Plaza,New York,NY
10nov,Billy Joel,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $116,00",4 Pennsylvania Plaza,New York,NY
