Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
5 may,Vida nocturna,SA,,,1260 Avenue of the Americas,New York,NY
5 may,"Intrepid Sea, Air, and Space Museum Overnight Experience",SA,,,1260 Avenue of the Americas,New York,NY
5may,New York Yankees vs. Cleveland Indians,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $22,00",161st Street and River Avenue,Bronx,NY
5may,New York Red Bulls vs. New York City FC,SA - Hora de inicio: 2:00 pm ," Fútbol, Deportes                                                            "," Desde $52,00",6th Street and Cape May Street,Harrison,NJ
5may,New York Mets vs. Colorado Rockies,SA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $25,00",126th St. and Roosevelt Ave.,Queens,NY
5may,Haim,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $76,00",1260 Avenue of the Americas,New York,NY
5may,Steve Martin & Martin Short,SA - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $226,00",2124 Broadway,New York,NY
6 may,Un domingo de góspel,DO,,,2124 Broadway,New York,NY
6may,New York Yankees vs. Cleveland Indians,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $25,00",161st Street and River Avenue,Bronx,NY
6may,New York Mets vs. Colorado Rockies,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $21,00",126th St. and Roosevelt Ave.,Queens,NY
6may,WWE: Backlash,DO - Hora de inicio: 7:30 pm ," Deportes, Lucha                                                            "," Desde $65,00",Lafayette St At Mulberry St,Newark,NJ
7 may,Acceso a la colección de teatro de la Biblioteca Pública,LU,,,Lafayette St At Mulberry St,Newark,NJ
7 may,Woodbury Common Premium Outlets Shopping Tour,LU,,,Lafayette St At Mulberry St,Newark,NJ
7may,NHL Eastern Conference Semifinals: New Jersey Devils vs. TBD - Home Game 3 (Date: TBD - If Necessary),LU - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $204,00",Lafayette St At Mulberry St,Newark,NJ
7may,WWE: Raw,LU - Hora de inicio: 7:30 pm ," Deportes, Lucha                                                            "," Desde $45,00",1255 Hempstead Turnpike,Uniondale,NY
7may,Alice In Chains,LU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $111,00",311 West 34th Street,New York,NY
8may,New York Yankees vs. Boston Red Sox,MA - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $37,00",161st Street and River Avenue,Bronx,NY
8may,Alice In Chains,MA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $91,00",311 West 34th Street,New York,NY
9may,New York Yankees vs. Boston Red Sox,MI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $37,00",161st Street and River Avenue,Bronx,NY
9may,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
9may,Bon Jovi,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $75,00",4 Pennsylvania Plaza,New York,NY
10 may,Broadway Sip N' Paint,JU,,,4 Pennsylvania Plaza,New York,NY
10may,New York Yankees vs. Boston Red Sox,JU - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $45,00",161st Street and River Avenue,Bronx,NY
10may,Bon Jovi,JU - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $92,00",4 Pennsylvania Plaza,New York,NY
11may,NHL Eastern Conference Finals: New Jersey Devils vs. TBD - Home Game 1 (Date: TBD - If Necessary),VI - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $243,00",Lafayette St At Mulberry St,Newark,NJ
11may,New York Yankees vs. Oakland Athletics,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $16,00",161st Street and River Avenue,Bronx,NY
11may,Kygo,VI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $97,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
12 may,Vida nocturna,SA,,,Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
12may,New York Yankees vs. Oakland Athletics,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $30,00",161st Street and River Avenue,Bronx,NY
12may,World Championship Boxing: Jorge Linares vs. Vasyl Lomachenko,SA - Hora de inicio: 4:30 pm ," Boxeo, Deportes                                                            "," Desde $88,00",4 Pennsylvania Plaza,New York,NY
12may,Monster Jam,SA - Hora de inicio: 7:00 pm ," Carreras, Deportes                                                            "," Desde $30,00",102 Route 120,East Rutherford,NJ
12may,Violent in Black,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $260,00",158 Ludlow Street,New York,New York
12may,Jessie's Girl,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $57,00",,Staten Island,NY
13 may,Día de la Madre,DO,,,,Staten Island,NY
13 may,Un domingo de góspel,DO,,,,Staten Island,NY
13may,NHL Eastern Conference Finals: New Jersey Devils vs. TBD - Home Game 2 (Date: TBD - If Necessary),DO - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $254,00",Lafayette St At Mulberry St,Newark,NJ
13may,New York Yankees vs. Oakland Athletics,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $18,00",161st Street and River Avenue,Bronx,NY
13may,Will Downing,DO - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $115,00",237 West 42nd Street,New York,NY
14 may,Woodbury Common Premium Outlets Shopping Tour,LU,,,237 West 42nd Street,New York,NY
15may,New York Mets vs. Toronto Blue Jays,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
16may,New York Mets vs. Toronto Blue Jays,MI - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
16may,Amateur Night At The Apollo: Top Dog,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $71,00",253 West 125th Street,New York,NY
17may,Madison Beer,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $50,00",127 E 23rd,New York,NY
17may,Jackson Browne,JU - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $103,00",2124 Broadway,New York,NY
18may,NHL Eastern Conference Finals: New Jersey Devils vs. TBD - Home Game 3 (Date: TBD - If Necessary),VI - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $307,00",Lafayette St At Mulberry St,Newark,NJ
18may,New York Mets vs. Arizona Diamondbacks,VI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $17,00",126th St. and Roosevelt Ave.,Queens,NY
18may,Jackson Browne,VI - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $191,00",2124 Broadway,New York,NY
19 may,Tour por Sardi's,SA,,,2124 Broadway,New York,NY
19 may,"Intrepid Sea, Air, and Space Museum Overnight Experience",SA,,,2124 Broadway,New York,NY
19 may,Vida nocturna,SA,,,2124 Broadway,New York,NY
19may,New York City FC vs. Colorado Rapids,SA - Hora de inicio: 1:00 pm ," Fútbol, Deportes                                                            "," Desde $31,00",161st Street and River Avenue,Bronx,NY
19may,The Misfits,SA - Hora de inicio: 7:00 pm , Conciertos                                                            ," Desde $137,00",Lafayette St At Mulberry St,Newark,NJ
19may,New York Mets vs. Arizona Diamondbacks,SA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $28,00",126th St. and Roosevelt Ave.,Queens,NY
19may,Yanni,SA - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $213,00",1260 Avenue of the Americas,New York,NY
20 may,Un domingo de góspel,DO,,,1260 Avenue of the Americas,New York,NY
20may,New York Mets vs. Arizona Diamondbacks,DO - Hora de inicio: 1:10 pm ," Béisbol, Deportes                                                            "," Desde $18,00",126th St. and Roosevelt Ave.,Queens,NY
20may,Joshua Redman & Brooklyn Rider,DO - Hora de inicio: 8:00 pm , Conciertos                                                            ," Desde $131,00",123 West 43rd Street,New York,NY
21 may,Woodbury Common Premium Outlets Shopping Tour,LU,,,123 West 43rd Street,New York,NY
21may,New York Mets vs. Miami Marlins,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
22may,New York Mets vs. Miami Marlins,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
22may,Subterranica NYC Latin Rock & Pop Music Awards,MA - Hora de inicio: 9:30 pm , Conciertos                                                            ," Desde $87,00",204 Varick St,New York,New York
22may,B.B. King Blues Club All-Stars & The Harlem Blues Project,MA - Hora de inicio: 9:30 pm , Conciertos                                                            ," Desde $75,00",237 West 42 St.,New York,New York
23 - 29 may,Fleet week,,,,237 West 42 St.,New York,New York
23may,New York Mets vs. Miami Marlins,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
23may,Amateur Night At The Apollo,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
25may,New York Yankees vs. Los Angeles Angels of Anaheim,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $30,00",161st Street and River Avenue,Bronx,NY
26 may,Vida nocturna,SA,,,161st Street and River Avenue,Bronx,NY
26may,New York Red Bulls vs. Philadelphia Union,SA - Hora de inicio: 7:00 pm ," Fútbol, Deportes                                                            "," Desde $26,00",6th Street and Cape May Street,Harrison,NJ
